url,price
https://five6gaming.com/collections/mtg-singles/products/forgotten-monument-the-lost-caverns-of-ixalan?_pos=4&_sid=df6b7814a&_ss=r,0.1
https://five6gaming.com/collections/mtg-singles/products/lightning-bolt-mystery-booster?_pos=3&_sid=d4a3c89e9&_ss=r,0.7
https://five6gaming.com/collections/mtg-singles/products/monastery-swiftspear-the-brothers-war?_pos=3&_sid=847d0dffe&_ss=r,0.3
https://five6gaming.com/collections/mtg-singles/products/chain-lightning-dominaria-remastered?_pos=3&_sid=351bcabd0&_ss=r,0.2
Not in stock,
https://five6gaming.com/collections/mtg-singles/products/searing-blaze-worldwake?_pos=1&_sid=de86216c3&_ss=r,0.6
https://five6gaming.com/collections/mtg-singles/products/skewer-the-critics-ravnica-remastered?_pos=2&_sid=9c0a7033d&_ss=r,0.1
https://five6gaming.com/collections/mtg-singles/products/fireblast-retro-dominaria-remastered?_pos=1&_sid=f49d8d994&_ss=r,1.4
Not in stock,
https://five6gaming.com/collections/mtg-singles/products/reckless-impulse-innistrad-crimson-vow?_pos=1&_sid=8e107a7f3&_ss=r,1.95
https://five6gaming.com/collections/mtg-singles/products/kessig-flamebreather-innistrad-crimson-vow?_pos=1&_sid=3647a2d9f&_ss=r,1.6
https://five6gaming.com/collections/mtg-singles/products/wrenns-resolve-march-of-the-machine?_pos=1&_sid=fc7d730bc&_ss=r,3.2
Not in stock,
https://five6gaming.com/collections/mtg-singles/products/kulrath-knight-shadowmoor?_pos=3&_sid=c4c7ae28c&_ss=r,0.75
https://five6gaming.com/collections/mtg-singles/products/fireblast-retro-dominaria-remastered?_pos=1&_sid=8f12a8a55&_ss=r,1.4
https://five6gaming.com/collections/mtg-singles/products/raze-to-the-ground-the-brothers-war?_pos=5&_sid=ebff40c2b&_ss=r,0.1
https://five6gaming.com/collections/mtg-singles/products/festival-crasher-innistrad-midnight-hunt?_pos=1&_sid=29724c440&_ss=r,0.1

